,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores,Classe
113329,PR,Nao,2580.0,860.0,4.0,2.0,média baixa
113330,PR,Nao,3260.0,815.0,4.0,3.0,média baixa
113331,PR,Nao,1130.0,282.0,2.0,2.0,baixa
113332,PR,Nao,950.0,316.0,2.0,1.0,baixa
113333,PR,Nao,600.0,300.0,2.0,2.0,baixa
113335,PR,Nao,1198.0,239.0,2.0,1.0,baixa
113336,PR,Nao,5070.0,2535.0,6.0,1.0,alta
113338,PR,Nao,2000.0,666.0,3.0,3.0,média baixa
113339,PR,Nao,1000.0,333.0,2.0,2.0,baixa
113340,PR,Nao,1300.0,325.0,2.0,1.0,baixa
113341,PR,Nao,3000.0,1500.0,5.0,4.0,média
113342,PR,Nao,0.0,0.0,0.0,2.0,baixa
113343,PR,Nao,2330.0,582.0,3.0,1.0,média baixa
113344,PR,Nao,1490.0,745.0,4.0,3.0,média baixa
113347,PR,Nao,1300.0,650.0,3.0,2.0,média baixa
113348,PR,Sim,2100.0,700.0,4.0,2.0,média baixa
113349,PR,Nao,2500.0,1250.0,4.0,1.0,média
113350,PR,Nao,252.0,50.0,1.0,1.0,baixa
113352,PR,Nao,0.0,0.0,0.0,1.0,baixa
113353,PR,Sim,1878.0,626.0,3.0,2.0,média baixa
113354,PR,Nao,2378.0,396.0,3.0,1.0,baixa
113356,PR,Nao,2600.0,520.0,3.0,1.0,média baixa
113357,PR,Nao,800.0,400.0,3.0,1.0,baixa
113358,PR,Nao,300.0,100.0,1.0,3.0,baixa
113360,PR,Sim,6600.0,1650.0,5.0,1.0,média
113361,PR,Sim,5700.0,1900.0,5.0,2.0,média
113362,PR,Nao,2378.0,1189.0,4.0,1.0,média
113363,PR,Nao,3000.0,1500.0,5.0,2.0,média
113365,PR,Sim,2800.0,933.0,4.0,3.0,média baixa
113366,PR,Sim,12000.0,3000.0,6.0,3.0,alta
113368,PR,Sim,3658.0,1219.0,4.0,2.0,média
113370,PR,Nao,4050.0,1350.0,4.0,4.0,média
113371,PR,Nao,700.0,700.0,4.0,1.0,média baixa
113372,PR,Nao,1356.0,1356.0,4.0,1.0,média
113373,PR,Sim,1978.0,989.0,4.0,2.0,média baixa
113374,PR,Sim,7350.0,3675.0,7.0,2.0,alta
113375,PR,Nao,915.0,915.0,4.0,1.0,média baixa
113376,PR,Sim,25756.0,8585.0,7.0,3.0,alta
113377,PR,Sim,0.0,0.0,0.0,2.0,baixa
113378,PR,Sim,3160.0,790.0,4.0,1.0,média baixa
113379,PR,Nao,1200.0,400.0,3.0,1.0,baixa
113380,PR,Sim,900.0,900.0,4.0,1.0,média baixa
113382,PR,Sim,2478.0,1239.0,4.0,1.0,média
113383,PR,Sim,3400.0,1133.0,4.0,1.0,média
113384,PR,Nao,1356.0,1356.0,4.0,1.0,média
113385,PR,Nao,4000.0,1333.0,4.0,1.0,média
113386,PR,Sim,3358.0,1679.0,5.0,2.0,média
113387,PR,Sim,6200.0,3100.0,6.0,1.0,alta
113388,PR,Nao,50.0,25.0,1.0,1.0,baixa
113389,PR,Sim,5100.0,1275.0,4.0,2.0,média
113390,PR,Sim,1538.0,769.0,4.0,1.0,média baixa
113391,PR,Nao,2800.0,1400.0,5.0,1.0,média
113392,PR,Nao,1600.0,800.0,4.0,1.0,média baixa
113393,PR,Sim,5800.0,1450.0,5.0,2.0,média
113394,PR,Sim,9700.0,1940.0,5.0,3.0,média
113395,PR,Sim,6600.0,1100.0,4.0,3.0,média
113396,PR,Sim,6000.0,1500.0,5.0,1.0,média
113397,PR,Sim,17000.0,5666.0,7.0,1.0,alta
113398,PR,Nao,3340.0,1670.0,5.0,1.0,média
113399,PR,Sim,2400.0,800.0,4.0,1.0,média baixa
113400,PR,Sim,6500.0,3250.0,6.0,1.0,alta
113401,PR,Nao,1356.0,1356.0,4.0,1.0,média
113402,PR,Sim,8100.0,2025.0,5.0,1.0,média
113403,PR,Sim,4500.0,1125.0,4.0,3.0,média
113404,PR,Sim,2220.0,740.0,4.0,2.0,média baixa
113405,PR,Nao,3878.0,1292.0,4.0,1.0,média
113406,PR,Sim,6178.0,2059.0,6.0,2.0,média
113407,PR,Nao,1300.0,433.0,3.0,1.0,baixa
113408,PR,Sim,2590.0,1295.0,4.0,2.0,média
113409,PR,Sim,2200.0,550.0,3.0,1.0,média baixa
113410,PR,Sim,1300.0,1300.0,4.0,1.0,média
113411,PR,Sim,1470.0,367.0,3.0,2.0,baixa
113412,PR,Sim,14200.0,3550.0,7.0,1.0,alta
113413,PR,Nao,2700.0,1350.0,4.0,1.0,média
113414,PR,Sim,2600.0,866.0,4.0,3.0,média baixa
113415,PR,Nao,2658.0,886.0,4.0,1.0,média baixa
113416,PR,Sim,3100.0,1033.0,4.0,2.0,média
113417,PR,Sim,3800.0,1266.0,4.0,1.0,média
113418,PR,Sim,3328.0,1109.0,4.0,1.0,média
113419,PR,Sim,1778.0,889.0,4.0,1.0,média baixa
113420,PR,Nao,2000.0,400.0,3.0,2.0,baixa
113422,PR,Sim,3000.0,1000.0,4.0,1.0,média baixa
113423,PR,Sim,1950.0,975.0,4.0,2.0,média baixa
113424,PR,Nao,2800.0,933.0,4.0,2.0,média baixa
113425,PR,Nao,1700.0,566.0,3.0,1.0,média baixa
113426,PR,Sim,3600.0,1800.0,5.0,3.0,média
113427,PR,Nao,1740.0,870.0,4.0,2.0,média baixa
113428,PR,Sim,2100.0,1050.0,4.0,2.0,média
113429,PR,Nao,750.0,750.0,4.0,1.0,média baixa
113430,PR,Nao,2000.0,2000.0,5.0,1.0,média
113431,PR,Nao,678.0,678.0,3.0,1.0,média baixa
113432,PR,Nao,678.0,678.0,3.0,1.0,média baixa
113433,PR,Nao,678.0,226.0,2.0,1.0,baixa
113434,PR,Nao,678.0,678.0,3.0,1.0,média baixa
113435,PR,Nao,750.0,375.0,3.0,1.0,baixa
113437,PR,Nao,1356.0,1356.0,4.0,1.0,média
113438,PR,Nao,1678.0,839.0,4.0,1.0,média baixa
113439,PR,Nao,0.0,0.0,0.0,1.0,baixa
