,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores
115662,41,Nao,3200.0,1066.0,4.0,1.0
115664,41,Nao,2980.0,596.0,3.0,3.0
115666,41,Sim,3000.0,1500.0,4.0,2.0
115667,41,Sim,3523.0,704.0,3.0,1.0
115668,41,Nao,1200.0,600.0,3.0,1.0
115669,41,Nao,1122.0,561.0,3.0,2.0
115670,41,Sim,1200.0,1200.0,4.0,1.0
115671,41,Nao,200.0,66.0,1.0,2.0
115672,41,Sim,1200.0,1200.0,4.0,1.0
115673,41,,,,,
115674,41,Nao,1105.0,552.0,3.0,2.0
115675,41,Nao,2326.0,775.0,3.0,1.0
115676,41,Sim,2800.0,1400.0,4.0,2.0
115677,41,Nao,1576.0,788.0,3.0,2.0
115678,41,Sim,2844.0,355.0,2.0,1.0
115679,41,Nao,1576.0,1576.0,4.0,1.0
115680,41,Sim,1500.0,500.0,3.0,
115681,41,Sim,3400.0,680.0,3.0,1.0
115682,41,Sim,4700.0,1566.0,4.0,1.0
115683,41,,,,,
115684,41,Nao,1800.0,1800.0,5.0,1.0
115685,41,Nao,1576.0,788.0,3.0,3.0
115686,41,Sim,4000.0,1333.0,4.0,2.0
115687,41,Nao,2250.0,375.0,2.0,2.0
115688,41,Nao,1300.0,325.0,2.0,1.0
115689,41,Nao,1788.0,357.0,2.0,1.0
115690,41,Sim,1000.0,333.0,2.0,1.0
115691,41,,,,,
115692,41,Nao,1000.0,333.0,2.0,1.0
115693,41,Sim,2200.0,314.0,2.0,1.0
115694,41,Nao,788.0,394.0,2.0,1.0
115695,41,Nao,888.0,444.0,3.0,1.0
115696,41,Sim,1903.0,475.0,3.0,1.0
115697,41,Nao,1856.0,928.0,4.0,2.0
115698,41,Sim,2150.0,716.0,3.0,1.0
115699,41,Sim,4250.0,1062.0,4.0,2.0
115700,41,Nao,788.0,788.0,3.0,1.0
115701,41,Sim,2023.0,505.0,3.0,1.0
115702,41,Nao,788.0,788.0,3.0,1.0
115703,41,Sim,1500.0,375.0,2.0,1.0
115704,41,Sim,2996.0,599.0,3.0,1.0
115705,41,Sim,1570.0,314.0,2.0,1.0
115706,41,Nao,788.0,788.0,3.0,1.0
115707,41,Nao,1576.0,788.0,3.0,1.0
115708,41,Sim,5100.0,1275.0,4.0,2.0
115709,41,Sim,1500.0,500.0,3.0,1.0
115710,41,,,,,
115711,41,Nao,2788.0,697.0,3.0,2.0
115712,41,Nao,939.0,939.0,4.0,1.0
115713,41,Sim,1500.0,375.0,2.0,2.0
115714,41,Sim,1700.0,850.0,4.0,1.0
115715,41,,,,,
115716,41,Nao,788.0,394.0,2.0,1.0
115717,41,,,,,
115718,41,,,,,
115719,41,Nao,1893.0,315.0,2.0,
115720,41,Sim,2500.0,625.0,3.0,2.0
115721,41,Nao,1500.0,500.0,3.0,1.0
115722,41,Nao,1700.0,850.0,4.0,1.0
115723,41,Sim,10400.0,2600.0,6.0,1.0
115724,41,Nao,1440.0,360.0,2.0,1.0
115725,41,Sim,5138.0,1284.0,4.0,1.0
115726,41,Sim,2676.0,669.0,3.0,1.0
115727,41,Sim,4470.0,894.0,4.0,1.0
115728,41,Sim,6000.0,1500.0,4.0,1.0
115729,41,Nao,1088.0,1088.0,4.0,1.0
115730,41,Sim,5000.0,1000.0,4.0,2.0
115731,41,,,,,
115732,41,,,,,
115733,41,Nao,1788.0,894.0,4.0,1.0
115734,41,Sim,1000.0,500.0,3.0,2.0
115735,41,,,,,
115736,41,Nao,490.0,245.0,2.0,1.0
